playername,teamname,position,KDA,solokill,KP,dpm,earned gpm,golddiffat15,xpdiffat15,csdiffat15,steal,FB,DPG,vspm,games_played
Effort,BRION,sup,2.4,,69.42148760330579,137.8817909090909,94.90982045454547,-42.75,-157.1818181818182,3.1818181818181817,,31.818181818181817,61.51064841854276,3.2518704545454544,44.0
Hena,BRION,bot,2.3404255319148937,,60.60606060606061,518.6157613636364,265.63118181818186,-334.8863636363636,-92.79545454545455,-5.2727272727272725,,29.545454545454547,135.78362534277704,1.295425,44.0
Karis,BRION,mid,2.5,0.25,66.11570247933884,494.7280181818182,245.00990227272726,-266.27272727272725,-80.70454545454545,-5.5,,9.090909090909092,134.86776945822032,0.9783522727272728,44.0
Morgan,BRION,top,1.75,0.18181818181818182,52.06611570247934,390.69077727272725,239.46392045454547,-318.75,-222.95454545454547,-5.909090909090909,,11.363636363636363,106.73507547772154,1.2048409090909091,44.0
UmTi,BRION,jng,2.237704918032787,,75.20661157024793,311.2490818181818,182.74792727272728,-89.63636363636364,21.204545454545453,2.272727272727273,0.06818181818181818,34.09090909090909,101.78736971608286,1.9124,44.0
Canna,Dplus KIA,top,3.923076923076923,0.25,52.46913580246913,469.5942575,258.9697625,213.975,162.075,5.05,,17.5,120.76001501364415,1.1227575,40.0
Canyon,Dplus KIA,jng,4.925373134328358,,67.90123456790124,314.347555,203.3319775,192.2,112.725,-0.6,0.1,45.0,95.25786262042251,1.9428474999999998,40.0
Deft,Dplus KIA,bot,6.160714285714286,,70.98765432098766,664.2935,328.6661575,497.85,294.225,7.35,,37.5,145.14968069944635,1.43694,40.0
Kellin,Dplus KIA,sup,6.87719298245614,,80.65843621399176,223.4324325,114.336915,205.1,-18.1,-3.95,,47.5,92.15579581822747,3.23058,40.0
ShowMaker,Dplus KIA,mid,5.517241379310345,0.3,65.84362139917695,601.18839,267.6034075,98.325,196.8,3.6,,15.0,152.9418751274321,1.3499050000000001,40.0
BeryL,DRX,sup,1.7463768115942029,,69.05444126074498,205.39930227272725,99.53655227272726,-158.45454545454547,16.795454545454547,2.25,,11.363636363636363,89.12666609827492,3.000920454545455,44.0
Croco,DRX,jng,1.711111111111111,,70.64220183486239,324.85942413793106,163.17617586206896,-313.0,-194.44827586206895,-1.9655172413793103,0.06896551724137931,17.24137931034483,113.44650740806821,1.5928551724137932,29.0
deokdam,DRX,bot,2.302325581395349,,64.49511400651465,492.53473421052627,263.4802236842105,-549.1578947368421,-159.81578947368422,-11.710526315789474,,7.894736842105263,127.89500008477306,1.3389736842105264,38.0
FATE,DRX,mid,2.0927835051546393,0.1590909090909091,58.16618911174785,534.1092022727272,233.77910454545454,-315.6818181818182,-213.88636363636363,-4.613636363636363,,9.090909090909092,148.76834855547054,1.087375,44.0
Juhan,DRX,jng,1.934782608695652,,67.93893129770993,252.43132,178.27923333333334,-160.86666666666667,-177.4,-5.733333333333333,0.13333333333333333,33.333333333333336,83.33921877546585,1.9957533333333333,15.0
Pleata,DRX,bot,2.1333333333333333,,76.19047619047619,432.8896333333333,253.95135000000002,-708.8333333333334,-345.0,-16.833333333333332,,33.333333333333336,116.29992072820708,1.0330000000000001,6.0
Rascal,DRX,top,1.5615384615384615,0.36363636363636365,58.16618911174785,451.7094590909091,249.43578636363637,-236.29545454545453,-215.36363636363637,-5.931818181818182,,18.181818181818183,120.07705831600414,1.047125,44.0
Chovy,Gen.G,mid,6.107692307692307,0.23255813953488372,65.9468438538206,639.6325976744187,299.32556744186047,203.72093023255815,99.04651162790698,5.674418604651163,,16.27906976744186,149.43384790725483,1.5357139534883721,43.0
Delight,Gen.G,sup,5.7594936708860756,,75.5813953488372,211.31854651162791,126.47127674418606,217.2325581395349,163.02325581395348,1.2093023255813953,,39.53488372093023,83.19994684841555,3.370125581395349,43.0
Doran,Gen.G,top,3.5353535353535355,0.27906976744186046,58.13953488372093,516.2547,278.9827418604651,301.25581395348837,171.34883720930233,3.953488372093023,,18.6046511627907,124.36996401283791,1.1575209302325582,43.0
Peanut,Gen.G,jng,3.9901960784313726,,67.60797342192691,325.80997906976745,211.73463488372093,186.67441860465115,116.18604651162791,0.06976744186046512,0.046511627906976744,48.83720930232558,95.23557161665077,1.7668093023255815,43.0
Peyz,Gen.G,bot,6.029411764705882,,68.10631229235881,627.5801604651163,332.27177906976743,377.27906976744185,22.11627906976744,1.2790697674418605,,34.883720930232556,137.10877251081655,1.4057906976744186,43.0
Clid,Hanwha Life Esports,jng,2.4782608695652173,,63.474387527839646,292.69759111111114,193.18942,0.6444444444444445,-45.06666666666667,-4.155555555555556,0.15555555555555556,35.55555555555556,92.74789083721332,2.0860177777777777,45.0
Kingen,Hanwha Life Esports,top,2.303030303030303,0.15555555555555556,50.779510022271715,400.4566177777778,245.82723555555555,-191.88888888888889,-81.28888888888889,-7.066666666666666,,17.77777777777778,106.51919485954745,1.0596422222222222,45.0
Life,Hanwha Life Esports,sup,3.19,,71.0467706013363,198.19338888888888,109.59697333333334,-50.15555555555556,48.977777777777774,-2.111111111111111,,17.77777777777778,83.05823886040328,3.102406666666667,45.0
Viper,Hanwha Life Esports,bot,4.420289855072464,,67.92873051224944,628.99356,308.9718111111111,176.11111111111111,-89.22222222222223,5.911111111111111,,15.555555555555555,145.62055914405013,1.4268244444444445,45.0
Zeka,Hanwha Life Esports,mid,3.2222222222222223,0.37777777777777777,64.5879732739421,583.9429333333334,284.5764688888889,135.9111111111111,193.2,5.111111111111111,,20.0,141.0206921031531,1.1639377777777777,45.0
Aiming,KT Rolster,bot,6.490196078431373,,66.46586345381526,566.4211162790698,331.4299930232558,82.04651162790698,188.65116279069767,-0.3953488372093023,,20.930232558139537,123.74052264942462,1.593820930232558,43.0
Bdd,KT Rolster,mid,5.25,0.18604651162790697,63.25301204819277,474.46841162790696,267.951111627907,123.55813953488372,-81.53488372093024,-1.5348837209302326,,18.6046511627907,119.90381986867284,1.0714976744186047,43.0
