playername,teamname,position,KDA,solokill,KP,dpm,earned gpm,golddiffat15,xpdiffat15,csdiffat15,steal,FB,DPG,vspm,games_played
Bible,Dplus KIA,sup,2.813953488372093,,68.75,112.95492307692308,107.20585384615384,55.23076923076923,173.07692307692307,1.3846153846153846,,15.384615384615385,47.56419887043374,3.2828615384615385,13.0
Canna,Dplus KIA,top,2.9468085106382977,0.275,52.76190476190476,500.6879925,256.26619999999997,148.75,87.375,-0.325,,15.0,129.46491827984292,1.0445875,40.0
Canyon,Dplus KIA,jng,4.222222222222222,,72.38095238095238,329.20705,224.0262075,310.475,252.225,5.025,0.1,30.0,92.73460654533109,1.6925775,40.0
Deft,Dplus KIA,bot,4.986666666666666,,73.91304347826087,730.3567891891892,326.1573189189189,122.13513513513513,39.0,2.4594594594594597,,24.324324324324323,164.6209030492136,1.5337270270270271,37.0
Kellin,Dplus KIA,sup,5.530612244897959,,77.65042979942693,176.51193333333333,115.01407407407407,82.18518518518519,-150.66666666666666,-2.074074074074074,,33.333333333333336,72.68706801562656,3.099322222222222,27.0
Rahel,Dplus KIA,bot,2.2,,57.89473684210526,448.46706666666665,310.72723333333334,-387.3333333333333,-445.0,2.0,,33.333333333333336,103.65397688647178,1.8973333333333333,3.0
ShowMaker,Dplus KIA,mid,4.819444444444445,0.1,66.0952380952381,613.1343625000001,284.25493500000005,21.575,34.775,0.95,,15.0,149.31590363978634,1.2652875,40.0
BeryL,DRX,sup,2.092857142857143,,70.60240963855422,159.80858139534885,100.7523534883721,-70.55813953488372,2.5813953488372094,0.16279069767441862,,16.27906976744186,71.31898061085533,3.2358627906976745,43.0
Croco,DRX,jng,2.8405797101449277,,75.38461538461539,283.35882399999997,186.765032,-436.12,-377.48,-16.04,0.08,44.0,90.82082065753737,1.6721840000000001,25.0
FATE,DRX,mid,4.133333333333334,0.08823529411764706,69.66292134831461,584.8564764705883,274.5888029411765,-60.61764705882353,-41.38235294117647,0.14705882352941177,,8.823529411764707,147.0026464693957,1.227185294117647,34.0
