playername,teamname,position,KDA,solokill,KP,dpm,earned gpm,golddiffat15,xpdiffat15,csdiffat15,steal,FB,DPG,vspm,games_played
113,Astralis,jng,2.508771929824561,,69.7560975609756,271.2929823529412,176.8829294117647,-210.2941176470588,-298.4117647058824,-10.235294117647058,0.0,41.1764705882353,89.95267205679353,1.4576058823529412,17.0
Dajor,Astralis,mid,2.26,0.23529411764705882,55.1219512195122,512.5217,245.89827647058823,-475.88235294117646,-330.47058823529414,-8.823529411764707,,17.647058823529413,136.06067605294342,1.2081117647058823,17.0
Finn,Astralis,top,1.8775510204081634,0.4117647058823529,44.8780487804878,507.9018470588235,239.3624705882353,-181.11764705882354,19.941176470588236,-9.0,,17.647058823529413,138.28812764916856,1.0535058823529413,17.0
JeongHoon,Astralis,sup,2.5483870967741935,,77.07317073170732,234.45532941176472,111.42755294117647,288.5882352941176,-133.2941176470588,-3.588235294117647,,23.529411764705884,98.05038592641931,2.9534588235294117,17.0
Kobbe,Astralis,bot,3.710526315789474,,68.78048780487805,588.4497529411765,297.1336823529412,309.94117647058823,250.2941176470588,4.9411764705882355,,17.647058823529413,138.30563168596942,1.0224176470588235,17.0
Odoamne,Excel Esports,top,1.2820512820512822,0.3333333333333333,48.07692307692308,456.9999,226.3119888888889,192.22222222222223,-70.22222222222223,1.6666666666666667,,11.11111111111111,126.51160423452768,0.9436333333333332,9.0
Patrik,Excel Esports,bot,1.8333333333333333,,74.03846153846153,773.3235,264.02641111111114,-1106.3333333333333,-712.4444444444445,-20.444444444444443,,22.22222222222222,203.3976124885216,0.8777111111111111,9.0
Targamas,Excel Esports,sup,2.6206896551724137,,73.07692307692308,252.26425555555554,113.80668888888889,-38.22222222222222,223.0,8.333333333333334,,44.44444444444444,101.49785843380951,2.9981555555555555,9.0
Vetheo,Excel Esports,mid,2.2666666666666666,0.1111111111111111,65.38461538461539,643.667288888889,270.5259111111111,-3.3333333333333335,-273.3333333333333,-5.666666666666667,,22.22222222222222,157.56103796497507,1.0941,9.0
Xerxe,Excel Esports,jng,2.3214285714285716,,62.5,334.0927888888889,167.58698888888887,-66.88888888888889,-10.666666666666666,4.0,0.0,55.55555555555556,116.61693378861989,1.4900777777777778,9.0
Humanoid,Fnatic,mid,1.7647058823529411,0.0,67.41573033707866,659.9474,255.20134444444446,129.77777777777777,-35.77777777777778,-1.2222222222222223,,11.11111111111111,172.22400914906544,0.8184555555555555,9.0
