playername,teamname,position,KDA,solokill,KP,dpm,earned gpm,golddiffat15,xpdiffat15,csdiffat15,steal,FB,DPG,vspm,games_played
Cheoni,AXIZ,bot,3.7435897435897436,,76.04166666666667,679.0994542857144,303.2369685714286,-211.34285714285716,-279.14285714285717,0.3142857142857143,,20.0,159.10756826094925,1.1492685714285715,35.0
Dicey,AXIZ,sup,3.0408163265306123,,77.60416666666667,159.89032285714285,100.94348571428571,27.057142857142857,270.3142857142857,4.0285714285714285,,20.0,69.39338552264027,2.9436171428571427,35.0
Hoglet,AXIZ,jng,2.2635658914728682,,76.04166666666667,288.91220571428573,173.22573714285716,-309.77142857142854,-98.25714285714285,0.9142857142857143,0.02857142857142857,28.571428571428573,95.4985476369267,1.8767914285714287,35.0
Ino,AXIZ,top,1.8073394495412844,0.2857142857142857,51.302083333333336,425.1635685714285,244.68838000000002,-162.0,-45.08571428571429,-1.8857142857142857,,17.142857142857142,113.63121183643207,1.1374228571428573,35.0
Megumiin,AXIZ,mid,2.519230769230769,0.05714285714285714,68.22916666666667,516.0938057142857,231.03006,-543.9714285714285,-265.42857142857144,-7.771428571428571,,20.0,144.4286773323025,1.102877142857143,35.0
CaD,Burning Core,jng,2.4,,68.57142857142857,308.88955,181.71779,-49.0,-71.8,-3.4,0.0,30.0,97.38768260190488,1.32627,10.0
DICE,Burning Core,mid,3.2409638554216866,0.3939393939393939,69.15167095115682,640.3718696969697,280.72783636363636,313.4848484848485,236.06060606060606,8.878787878787879,,9.090909090909092,160.19607702410772,1.2753878787878787,33.0
EL,Burning Core,jng,2.010989010989011,,64.43661971830986,262.5678434782609,171.7650391304348,-334.69565217391306,-108.3913043478261,-1.8695652173913044,0.08695652173913043,21.73913043478261,87.43398106626806,1.7466521739130436,23.0
Raina,Burning Core,sup,2.717171717171717,,69.15167095115682,196.12819696969697,109.48980909090909,-207.27272727272728,-108.87878787878788,1.1818181818181819,,9.090909090909092,83.13023250079117,2.7912757575757574,33.0
RayFarky,Burning Core,top,3.028169014084507,0.3333333333333333,55.26992287917738,511.48329696969705,274.34841212121216,422.42424242424244,171.6969696969697,14.424242424242424,,21.21212121212121,127.20231720377762,0.926939393939394,33.0
Yuhi,Burning Core,bot,3.1012658227848102,,62.98200514138817,513.2177818181818,281.6546818181818,-367.030303030303,-155.3939393939394,-5.03030303030303,,9.090909090909092,125.84769885639558,1.3082757575757575,33.0
Cassin,Crest Gaming Act,jng,1.9029850746268657,,70.83333333333333,312.5584382352941,191.38259117647058,18.852941176470587,156.05882352941177,4.352941176470588,0.14705882352941177,29.41176470588235,98.89910690600406,1.5447441176470589,34.0
Eugeo,Crest Gaming Act,mid,2.2254901960784315,0.08823529411764706,63.05555555555556,445.51357647058825,228.9662823529412,-808.1764705882352,-505.70588235294116,-16.058823529411764,,20.58823529411765,124.91763686718207,1.1365617647058823,34.0
Honey,Crest Gaming Act,bot,3.5616438356164384,,72.22222222222223,719.9004647058823,301.09526176470587,-419.44117647058823,-191.88235294117646,-7.264705882352941,,14.705882352941176,171.2948653388668,1.414379411764706,34.0
Nap,Crest Gaming Act,top,2.2875,0.11764705882352941,50.833333333333336,364.11375588235296,221.84387352941178,-401.7647058823529,-111.52941176470588,-1.2647058823529411,,11.764705882352942,103.07656819144998,0.8759558823529412,34.0
Primo,Crest Gaming Act,sup,1.6111111111111112,,71.78217821782178,184.04799545454546,96.55156818181818,-465.90909090909093,-417.90909090909093,-2.6363636363636362,,13.636363636363637,81.64528352057435,2.4692954545454544,22.0
Qoo,Crest Gaming Act,sup,3.8484848484848486,,80.37974683544304,187.455425,103.72845833333334,-167.75,-515.4166666666666,-8.083333333333334,,41.666666666666664,79.04745421701082,2.9202083333333335,12.0
Aria,DetonatioN FocusMe,mid,8.166666666666666,0.34375,65.96153846153847,694.36165,314.502703125,1002.90625,699.90625,17.53125,,31.25,158.88056444751092,1.338359375,32.0
Harp,DetonatioN FocusMe,sup,5.5396825396825395,,70.5050505050505,271.10102333333333,148.82852666666668,530.4333333333333,58.666666666666664,-1.4333333333333333,,36.666666666666664,95.52762006994121,3.0878133333333335,30.0
Milan,DetonatioN FocusMe,bot,9.0,,72.0,565.9445,274.4621,-398.0,-425.0,-13.0,,50.0,143.93870001761493,1.16965,2.0
Steal,DetonatioN FocusMe,jng,5.309859154929577,,72.5,411.695884375,226.64331875,566.0625,148.5625,-1.53125,0.15625,50.0,115.24460405513432,1.77486875,32.0
tol2,DetonatioN FocusMe,top,4.089285714285714,0.375,44.03846153846154,493.4846,243.23884375,189.03125,84.375,-5.625,,9.375,131.52133410533196,0.989809375,32.0
Yutapon,DetonatioN FocusMe,bot,7.4186046511627906,,64.44444444444444,648.03007,351.4754033333333,1037.7666666666667,659.2333333333333,10.466666666666667,,36.666666666666664,135.73163871943828,1.0077533333333333,30.0
Yutapon,DetonatioN FocusMe,sup,4.75,,76.0,197.671,103.0755,-45.5,168.0,3.5,,50.0,84.4265298644192,3.4821,2.0
Corporal,FENNEL,sup,3.2282608695652173,,72.26277372262774,185.07988235294118,104.54297352941177,-161.3235294117647,27.88235294117647,0.3235294117647059,,35.294117647058826,77.59963297388593,2.385544117647059,34.0
hachamecha,FENNEL,jng,2.5619047619047617,,65.45012165450122,271.9064176470588,182.15919411764705,-187.7058823529412,-242.91176470588235,-6.0588235294117645,0.029411764705882353,35.294117647058826,87.995934538771,1.9688999999999999,34.0
Leo,FENNEL,bot,4.085714285714285,,72.95918367346938,636.417778125,307.758075,-5.9375,-55.46875,-1.3125,,21.875,146.23199267216253,1.7747718749999999,32.0
Recap,FENNEL,mid,3.5949367088607596,0.35294117647058826,69.09975669099757,454.6056323529412,233.94076176470588,-168.35294117647058,-47.23529411764706,-2.088235294117647,,26.470588235294116,125.74736198275389,1.0850794117647058,34.0
TaNa,FENNEL,top,3.276923076923077,0.2647058823529412,51.824817518248175,561.2288029411766,287.15519705882355,418.7352941176471,125.94117647058823,5.823529411764706,,8.823529411764707,134.8275799136759,1.0439264705882352,34.0
unknown player,FENNEL,bot,7.5,,78.94736842105263,408.3983,314.80185,22.0,190.5,6.0,,0.0,91.84062034825354,2.1978999999999997,2.0
Blank,Fukuoka SoftBank HAWKS gaming,jng,4.5,,79.59183673469387,411.0401794117647,206.84816176470588,98.0,12.147058823529411,-0.11764705882352941,0.08823529411764706,32.35294117647059,125.15122818545504,1.7420235294117647,34.0
DasheR,Fukuoka SoftBank HAWKS gaming,mid,4.698412698412699,0.23529411764705882,67.12018140589569,619.8423352941177,270.20243823529415,79.73529411764706,28.058823529411764,2.823529411764706,,20.58823529411765,156.67439472571584,1.1579588235294118,34.0
Kinatu,Fukuoka SoftBank HAWKS gaming,top,3.24,0.29411764705882354,55.10204081632653,516.7779558823529,262.2482705882353,-60.588235294117645,58.911764705882355,4.529411764705882,,5.882352941176471,132.92997722084874,1.2414029411764707,34.0
Marble,Fukuoka SoftBank HAWKS gaming,bot,7.9743589743589745,,70.52154195011337,588.1575176470587,319.70928235294116,522.1470588235294,116.73529411764706,7.911764705882353,,14.705882352941176,133.33829223642397,1.3390088235294118,34.0
Vsta,Fukuoka SoftBank HAWKS gaming,sup,5.557377049180328,,76.87074829931973,244.8743323529412,124.39054411764707,295.55882352941177,166.73529411764707,-0.7058823529411765,,23.529411764705884,95.98510955899968,3.0671823529411766,34.0
eguto,Sengoku Gaming,top,3.2,0.5,48.484848484848484,463.24555,242.1912,154.0,-80.5,9.0,,50.0,124.16873449131513,1.077,2.0
Enty,Sengoku Gaming,sup,6.925925925925926,,71.92307692307692,225.86624117647057,129.10858529411763,71.26470588235294,-86.20588235294117,-3.2058823529411766,,29.41176470588235,85.96540948235143,3.0180264705882354,34.0
Jett,Sengoku Gaming,mid,5.447761194029851,0.6176470588235294,70.1923076923077,656.796055882353,329.1777882352941,744.5882352941177,186.94117647058823,9.970588235294118,,41.1764705882353,141.24599231710778,0.9770588235294118,34.0
LokeN,Sengoku Gaming,bot,7.511111111111111,,65.0,645.0575235294118,329.1322,101.41176470588235,281.4117647058824,5.4411764705882355,,17.647058823529413,143.22651737389674,1.5300029411764706,34.0
Once,Sengoku Gaming,jng,4.638888888888889,,64.23076923076923,365.11350588235297,218.98489117647057,190.05882352941177,110.23529411764706,5.5588235294117645,0.11764705882352941,47.05882352941177,104.72979752932257,1.6817911764705882,34.0
Paz,Sengoku Gaming,top,4.588235294117647,0.25,48.049281314168375,457.87699062499996,254.802296875,-59.0625,-50.0,-5.03125,,21.875,119.67612164556485,0.98451875,32.0
Acee,V3 Esports,mid,1.975609756097561,0.1,68.0672268907563,452.00798000000003,214.94746333333333,-607.4666666666667,-313.56666666666666,-13.333333333333334,,23.333333333333332,133.9208115099846,1.2485933333333332,30.0
dresscode,V3 Esports,bot,2.108433734939759,,73.52941176470588,466.41729000000004,244.33541666666667,-587.4,-321.6,-10.333333333333334,,26.666666666666668,127.53561587617986,1.1024433333333334,30.0
Hetel,V3 Esports,sup,1.5660377358490567,,69.74789915966386,167.86979000000002,87.11486333333333,-155.1,124.3,4.433333333333334,,33.333333333333336,77.4502122604069,2.5171133333333335,30.0
HRK,V3 Esports,jng,1.401639344262295,,71.84873949579831,272.67444,163.55314333333334,-104.56666666666666,22.933333333333334,-1.1,0.06666666666666667,36.666666666666664,92.95643622252345,1.6728766666666668,30.0
Washidai,V3 Esports,top,1.3406593406593406,0.16666666666666666,51.260504201680675,378.6734333333333,203.73635333333334,-375.1333333333333,-250.66666666666666,-13.2,,10.0,115.23523349930466,0.99476,30.0
Average,,top,2.7396351575456053,0.2631578947368421,50.62825620594545,464.36855714285707,249.5255263157895,0.0,0.0,0.0,0.0,13.533834586466165,122.72466378204386,1.026533082706767,266.0
Average,,jng,2.769230769230769,0.0,70.60986821942997,326.52411654135335,192.36315639097742,0.0,0.0,0.0,0.08646616541353383,35.338345864661655,101.9801938861566,1.7367635338345866,266.0
