playername,teamname,position,KDA,solokill,KP,dpm,earned gpm,golddiffat15,xpdiffat15,csdiffat15,steal,FB,DPG,vspm,games_played
Dicey,AXIZ,sup,3.625,,85.29411764705883,120.98766666666667,133.45743333333334,454.3333333333333,-72.0,-8.0,,33.333333333333336,45.54813075672747,2.8847666666666663,3.0
Hoglet,AXIZ,jng,2.1449275362318843,,75.1269035532995,323.40597777777776,181.67405555555555,-214.66666666666666,-20.88888888888889,0.1111111111111111,0.1111111111111111,33.333333333333336,107.28617980537452,1.6445166666666666,18.0
Ino,AXIZ,sup,2.8157894736842106,,74.30555555555556,113.99507692307692,99.1214076923077,-51.92307692307692,153.92307692307693,3.3846153846153846,,23.076923076923077,50.24262746806334,3.3186615384615386,13.0
Ino,AXIZ,top,1.6363636363636365,0.2,33.9622641509434,472.62119999999993,251.72958,-241.2,-332.4,-3.0,,20.0,123.5076463190128,1.18988,5.0
Kentakki,AXIZ,sup,1.0833333333333333,,68.42105263157895,147.07375,72.73505,-1268.0,-774.0,-11.5,,0.0,71.67026040802787,2.7454,2.0
Megumiin,AXIZ,mid,2.4285714285714284,0.05555555555555555,69.03553299492386,550.0031944444445,264.1449,-353.6666666666667,-91.38888888888889,-5.611111111111111,,11.11111111111111,142.5153227037756,1.0998666666666665,18.0
Ricky,AXIZ,top,1.7804878048780488,0.07692307692307693,50.69444444444444,311.41542307692305,217.04356153846155,-733.6923076923077,-543.4615384615385,-12.153846153846153,,15.384615384615385,88.11216058256862,1.0207846153846154,13.0
Valkyrie,AXIZ,bot,3.2857142857142856,,81.7258883248731,586.8181777777778,321.5731166666667,-37.22222222222222,-98.55555555555556,0.5555555555555556,,22.22222222222222,134.48632759144758,1.1900777777777778,18.0
DICE,Burning Core,mid,3.1951219512195124,0.35294117647058826,69.31216931216932,617.6024117647058,277.71952352941173,5.705882352941177,182.2941176470588,5.647058823529412,,11.764705882352942,150.68945073439411,1.1481529411764706,17.0
EL,Burning Core,jng,2.1515151515151514,,75.13227513227513,274.9220411764706,172.52257647058823,-292.3529411764706,-470.05882352941177,-7.9411764705882355,0.058823529411764705,23.529411764705884,91.74153465410345,1.527835294117647,17.0
Raina,Burning Core,sup,2.517857142857143,,74.60317460317461,139.92647647058826,101.2731705882353,-195.88235294117646,138.7058823529412,5.176470588235294,,5.882352941176471,59.680822333997234,2.8483,17.0
RayFarky,Burning Core,top,2.2653061224489797,0.29411764705882354,58.73015873015873,454.2602176470588,251.98105294117644,389.3529411764706,377.8235294117647,13.0,,11.764705882352942,118.72076157790444,0.9226000000000001,17.0
Yuhi,Burning Core,bot,2.702127659574468,,67.19576719576719,635.2544588235295,299.9305764705882,-331.47058823529414,-277.1764705882353,-6.823529411764706,,11.764705882352942,151.4733990995643,1.203829411764706,17.0
Cassin,Crest Gaming Act,jng,3.0952380952380953,,71.03825136612022,238.81484285714285,207.31230714285715,413.35714285714283,463.7857142857143,9.642857142857142,0.21428571428571427,28.571428571428573,73.55243759849525,1.4147714285714286,14.0
Eugeo,Crest Gaming Act,mid,5.035714285714286,0.21428571428571427,77.04918032786885,458.66641428571427,249.20430714285712,-491.2857142857143,-138.78571428571428,-8.428571428571429,,28.571428571428573,126.15019824737021,1.1542928571428572,14.0
Honey,Crest Gaming Act,bot,5.76,,78.68852459016394,707.6520142857142,349.87814285714285,47.42857142857143,212.92857142857142,2.0,,28.571428571428573,152.59444265485243,1.3338571428571429,14.0
Nap,Crest Gaming Act,top,3.4411764705882355,0.14285714285714285,63.9344262295082,492.992,249.98094285714282,259.2857142857143,-101.07142857142857,2.9285714285714284,,0.0,135.9857081863329,0.91275,14.0
Qoo,Crest Gaming Act,sup,4.566666666666666,,74.86338797814207,88.00412857142858,98.34184285714286,-170.42857142857142,-363.7142857142857,-2.0,,28.571428571428573,37.025354960081614,3.1249857142857143,14.0
Aria,DetonatioN FocusMe,mid,7.074074074074074,0.5714285714285714,64.96598639455782,764.7758714285713,350.4145642857143,698.3571428571429,214.28571428571428,8.571428571428571,,14.285714285714286,159.42601510743881,1.185692857142857,14.0
Harp,DetonatioN FocusMe,sup,7.15625,,77.89115646258503,194.3455642857143,137.65287857142857,288.85714285714283,16.642857142857142,-1.4285714285714286,,50.0,70.80931965139162,3.2440714285714285,14.0
Milan,DetonatioN FocusMe,bot,5.7,,67.85714285714286,607.255125,345.67805,808.0,98.75,6.75,,50.0,127.46506464672848,1.48045,4.0
Steal,DetonatioN FocusMe,jng,6.827586206896552,,67.34693877551021,414.5321785714286,223.09834285714285,113.42857142857143,27.285714285714285,-2.0,0.14285714285714285,42.857142857142854,119.23738797770807,1.7135214285714286,14.0
tol2,DetonatioN FocusMe,top,3.5517241379310347,0.1,49.04761904761905,576.49708,253.03359999999998,74.0,-300.9,-2.0,,0.0,150.48742902128942,1.04606,10.0
Yutapon,DetonatioN FocusMe,bot,6.291666666666667,,71.9047619047619,842.35929,343.21669,490.9,208.0,1.5,,50.0,181.32876304829898,1.1335000000000002,10.0
Yutapon,DetonatioN FocusMe,top,10.2,0.5,60.714285714285715,784.2940249999999,300.7277,627.5,757.75,11.0,,0.0,181.53960518708186,0.794325,4.0
Corporal,FENNEL,sup,3.0,,73.51778656126483,140.21218125000001,114.94168125,43.1875,-64.6875,0.1875,,37.5,57.13189516735094,3.04026875,16.0
hachamecha,FENNEL,jng,3.462962962962963,,66.54804270462634,287.84585555555554,205.94738333333333,51.94444444444444,-52.94444444444444,-2.7222222222222223,0.0,33.333333333333336,84.64798167853304,1.8758555555555556,18.0
Recap,FENNEL,mid,3.909090909090909,0.1111111111111111,61.20996441281139,488.05552222222224,260.14975,-230.61111111111111,-182.88888888888889,-3.111111111111111,,5.555555555555555,128.01156583629893,1.0776,18.0
Shakespeare,FENNEL,sup,25.0,,89.28571428571429,91.31885,136.66750000000002,377.0,765.0,12.0,,50.0,34.06001538856117,2.824,2.0
Ssol,FENNEL,bot,5.2926829268292686,,77.22419928825623,860.0138444444444,350.27079444444445,271.3888888888889,1.8333333333333333,3.2777777777777777,,33.333333333333336,186.3449820564105,1.4273,18.0
TaNa,FENNEL,top,4.065217391304348,0.3888888888888889,66.54804270462634,679.4422833333333,295.0740333333333,1022.0555555555555,421.72222222222223,22.055555555555557,,16.666666666666668,159.40552763613613,1.0618388888888888,18.0
Blank,Fukuoka SoftBank HAWKS gaming,jng,4.794871794871795,,69.77611940298507,342.949325,247.50635,235.125,300.125,3.75,0.1875,62.5,92.27140802996779,1.8237937499999999,16.0
DasheR,Fukuoka SoftBank HAWKS gaming,mid,4.568181818181818,0.25,75.0,667.92196875,285.58785,400.4375,-79.0,1.125,,31.25,167.04991953139725,0.9730125,16.0
Kinatu,Fukuoka SoftBank HAWKS gaming,top,5.0,0.3125,54.1044776119403,445.38676875,264.6965625,154.0,477.8125,3.375,,6.25,113.6808399807981,1.06570625,16.0
Marble,Fukuoka SoftBank HAWKS gaming,bot,8.409090909090908,,69.02985074626865,714.929125,332.47039375,361.25,78.9375,7.9375,,62.5,163.661148309771,1.40580625,16.0
Vsta,Fukuoka SoftBank HAWKS gaming,sup,6.40625,,76.49253731343283,188.2880125,124.19788125,335.75,341.0,2.4375,,56.25,74.15152230351664,2.85443125,16.0
eguto,Sengoku Gaming,top,2.3333333333333335,0.125,56.56565656565657,297.9599625,188.33441249999998,-597.375,-210.625,-18.625,,12.5,93.4396792404098,0.9128875,8.0
Enty,Sengoku Gaming,sup,4.386363636363637,,81.77966101694915,188.98641052631578,113.09705789473684,-21.68421052631579,-77.36842105263158,-10.052631578947368,,36.8421052631579,76.30944632396593,2.8455,19.0
Jett,Sengoku Gaming,mid,3.2448979591836733,0.5263157894736842,67.37288135593221,627.7678789473684,318.54957368421054,326.10526315789474,148.8421052631579,7.473684210526316,,10.526315789473685,145.0003840835766,0.9324736842105262,19.0
LokeN,Sengoku Gaming,bot,4.861111111111111,,74.15254237288136,602.6188052631578,332.2273052631579,249.6315789473684,259.42105263157896,5.421052631578948,,36.8421052631579,133.47719025883106,1.3650631578947368,19.0
Nesty,Sengoku Gaming,jng,2.380952380952381,,57.80346820809248,250.6907214285714,190.37692857142858,-209.85714285714286,7.285714285714286,0.21428571428571427,0.14285714285714285,35.714285714285715,78.63089381669568,1.3248857142857144,14.0
Once,Sengoku Gaming,jng,3.466666666666667,,82.53968253968254,250.58465999999999,201.97683999999998,63.6,-341.2,-0.6,0.2,40.0,74.05506741402817,1.49734,5.0
Paz,Sengoku Gaming,top,2.7857142857142856,0.18181818181818182,56.934306569343065,383.62524545454545,211.32939090909093,-974.5454545454545,-423.8181818181818,-20.636363636363637,,0.0,111.53364703732468,0.9392636363636363,11.0
Acee,V3 Esports,mid,1.7906976744186047,0.0625,74.03846153846153,486.7085,218.34445,-317.625,-48.9375,-6.3125,,18.75,137.94087249277462,1.00451875,16.0
dresscode,V3 Esports,bot,1.6304347826086956,,72.11538461538461,435.7633,256.68671875,-1119.25,-324.6875,-15.8125,,18.75,114.84915078295823,1.1260875,16.0
Hetel,V3 Esports,sup,1.1492537313432836,,74.03846153846153,128.2954,81.5894125,-180.3125,-138.5625,5.5,,31.25,60.980211175462266,2.67833125,16.0
HRK,V3 Esports,jng,1.6595744680851063,,75.0,258.9264375,186.01610625,-38.625,-47.0625,0.9375,0.0625,37.5,83.51052954406052,2.12380625,16.0
Washidai,V3 Esports,top,1.1224489795918366,0.0,52.88461538461539,361.87316875,200.6976375,-507.3125,-324.5,-11.75,,6.25,110.69541680764125,0.96983125,16.0
Average,,top,2.881159420289855,0.20454545454545456,56.7351598173516,467.3306257575758,243.8318977272727,0.0,0.0,0.0,0.0,8.333333333333334,125.58395472398492,0.9896734848484848,132.0
Average,,jng,3.032258064516129,0.0,69.74885844748859,297.0884212121212,201.1162068181818,0.0,0.0,0.0,0.11363636363636363,37.121212121212125,90.9577803515968,1.6843386363636363,132.0
Average,,mid,3.63855421686747,0.26515151515151514,68.94977168949772,581.1679325757575,277.79210984848487,0.0,0.0,0.0,0.0,15.909090909090908,144.88255008520377,1.066896212121212,132.0
Average,,bot,4.306666666666667,0.0,73.74429223744292,662.5975749999999,323.0607265151515,0.0,0.0,0.0,0.0,32.57575757575758,151.51567276960117,1.2875393939393938,132.0
Average,,sup,3.513089005235602,0.0,76.59817351598174,148.12728257575756,109.19570757575757,0.0,0.0,0.0,0.0,33.333333333333336,61.024811274046925,2.96785303030303,132.0
